File Path,Line Number,Error Type,Error Description
"src/components/organisms/ProfileForm/ProfileForm.tsx(144,11)",src/components/organisms/ProfileForm/ProfileForm.tsx(144,11): error TS2322: Type '"full"' is not assignable to type '"sm" | "md" | "lg" | undefined'.,"Type Mismatch","Type '\"full\"' is not assignable to type '\"sm\" | \"md\" | \"lg\" | undefined'."
"src/components/organisms/ProfileForm/ProfileForm.tsx(156,13)",src/components/organisms/ProfileForm/ProfileForm.tsx(156,13): error TS2322: Type '"success"' is not assignable to type '"primary" | "secondary" | "outline" | "ghost" | undefined'.,"Type Mismatch","Type '\"success\"' is not assignable to type '\"primary\" | \"secondary\" | \"outline\" | \"ghost\" | undefined'."
"src/components/organisms/ProfileForm/ProfileForm.tsx(157,13)",src/components/organisms/ProfileForm/ProfileForm.tsx(157,13): error TS2322: Type '"full"' is not assignable to type '"sm" | "md" | "lg" | undefined'.,"Type Mismatch","Type '\"full\"' is not assignable to type '\"sm\" | \"md\" | \"lg\" | undefined'."
"src/components/organisms/RelatedArticles/RelatedArticles.tsx(40,42)",src/components/organisms/RelatedArticles/RelatedArticles.tsx(40,42): error TS2339: Property 'slug' does not exist on type 'RelatedArticle'.,"Property Does Not Exist","Property 'slug' does not exist on type 'RelatedArticle'."
"src/components/organisms/ServiceNavigation/ServiceNavigation.tsx(2,1)",src/components/organisms/ServiceNavigation/ServiceNavigation.tsx(2,1): error TS6133: 'NavigationItem' is declared but its value is never read.,"Unused Variable/Import","'NavigationItem' is declared but its value is never read."
"src/components/organisms/Sidebar/Sidebar.tsx(2,1)",src/components/organisms/Sidebar/Sidebar.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/organisms/SingleCategorySection/SingleCategorySection.tsx(304,44)",src/components/organisms/SingleCategorySection/SingleCategorySection.tsx(304,44): error TS6133: 'index' is declared but its value is never read.,"Unused Variable/Import","'index' is declared but its value is never read."
"src/components/organisms/TikTokEmbed/TikTokEmbed.tsx(10,3)",src/components/organisms/TikTokEmbed/TikTokEmbed.tsx(10,3): error TS6133: 'autoplay' is declared but its value is never read.,"Unused Variable/Import","'autoplay' is declared but its value is never read."
"src/components/organisms/TikTokEmbed/TikTokEmbed.tsx(20,42)",src/components/organisms/TikTokEmbed/TikTokEmbed.tsx(20,42): error TS2339: Property 'isValidVideoId' does not exist on type 'TikTokExternalAPI'.,"Property Does Not Exist","Property 'isValidVideoId' does not exist on type 'TikTokExternalAPI'."
"src/components/organisms/TikTokVideoModal/TikTokVideoModal.tsx(188,25)",src/components/organisms/TikTokVideoModal/TikTokVideoModal.tsx(188,25): error TS18048: 'video.share_url' is possibly 'undefined'.,"Possible Null/Undefined","'video.share_url' is possibly 'undefined'."
"src/components/organisms/YouTubeEmbed/YouTubeEmbed.tsx(2,1)",src/components/organisms/YouTubeEmbed/YouTubeEmbed.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/pages/Register/Register.tsx(2,1)",src/components/pages/Register/Register.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/pages/Search/Search.tsx(2,1)",src/components/pages/Search/Search.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/templates/AdminLayout/AdminLayout.tsx(2,1)",src/components/templates/AdminLayout/AdminLayout.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/templates/ArticleLayout/ArticleLayout.tsx(2,1)",src/components/templates/ArticleLayout/ArticleLayout.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/components/templates/MainLayout/MainLayout.tsx(2,1)",src/components/templates/MainLayout/MainLayout.tsx(2,1): error TS6133: 'React' is declared but its value is never read.,"Unused Variable/Import","'React' is declared but its value is never read."
"src/hooks/useTrending.ts(40,17)",src/hooks/useTrending.ts(40,17): error TS2345: Argument of type 'FeedResponse' is not assignable to parameter of type 'SetStateAction<TrendingResponse | null>'.,"Argument Type Error","Argument of type 'FeedResponse' is not assignable to parameter of type 'SetStateAction<TrendingResponse | null>'."
"src/pages/Admin/AdminTikTok.tsx(116,23)",src/pages/Admin/AdminTikTok.tsx(116,23): error TS2339: Property 'role' does not exist on type 'User'.,"Property Does Not Exist","Property 'role' does not exist on type 'User'."
"src/pages/Admin/AdminTikTok.tsx(474,22)",src/pages/Admin/AdminTikTok.tsx(474,22): error TS2339: Property 'role' does not exist on type 'User'.,"Property Does Not Exist","Property 'role' does not exist on type 'User'."
"src/pages/Admin/Analytics.tsx(255,11)",src/pages/Admin/Analytics.tsx(255,11): error TS2322: Type '{ type: "error" | "success"; message: string; onClose: () => void; }' is not assignable to type 'IntrinsicAttributes & AlertMessageProps'.,"Type Mismatch","Type '{ type: \"error\" | \"success\"; message: string; onClose: () => void; }' is not assignable to type 'IntrinsicAttributes & AlertMessageProps'."
"src/pages/NotFound/NotFound.tsx(51,15)",src/pages/NotFound/NotFound.tsx(51,15): error TS2322: Type '"large"' is not assignable to type '"sm" | "md" | "lg" | undefined'.,"Type Mismatch","Type '\"large\"' is not assignable to type '\"sm\" | \"md\" | \"lg\" | undefined'."
"src/pages/NotFound/NotFound.tsx(63,15)",src/pages/NotFound/NotFound.tsx(63,15): error TS2322: Type '"large"' is not assignable to type '"sm" | "md" | "lg" | undefined'.,"Type Mismatch","Type '\"large\"' is not assignable to type '\"sm\" | \"md\" | \"lg\" | undefined'."
"src/pages/OTP/OTPPage.tsx(182,21)",src/pages/OTP/OTPPage.tsx(182,21): error TS2322: Type '(el: HTMLInputElement | null) => HTMLInputElement | null' is not assignable to type 'Ref<HTMLInputElement> | undefined'.,"Type Mismatch","Type '(el: HTMLInputElement | null) => HTMLInputElement | null' is not assignable to type 'Ref<HTMLInputElement> | undefined'."
"src/pages/Profile/ProfilePage.tsx(303,17)",src/pages/Profile/ProfilePage.tsx(303,17): error TS2322: Type '{ type: "success"; message: string; onClose: () => void; }' is not assignable to type 'IntrinsicAttributes & AlertMessageProps'.,"Type Mismatch","Type '{ type: \"success\"; message: string; onClose: () => void; }' is not assignable to type 'IntrinsicAttributes & AlertMessageProps'."
"src/pages/Profile/ProfilePage.tsx(311,17)",src/pages/Profile/ProfilePage.tsx(311,17): error TS2322: Type '{ type: "error"; message: string; onClose: () => void; }' is not assignable to type 'IntrinsicAttributes & AlertMessageProps'.,"Type Mismatch","Type '{ type: \"error\"; message: string; onClose: () => void; }' is not assignable to type 'IntrinsicAttributes & AlertMessageProps'."
"src/pages/Writer/ArticleWriterPage.tsx(261,15)",src/pages/Writer/ArticleWriterPage.tsx(261,15): error TS6133: 'result' is declared but its value is never read.,"Unused Variable/Import","'result' is declared but its value is never read."
"src/pages/Writer/WriterDashboard.tsx(15,10)",src/pages/Writer/WriterDashboard.tsx(15,10): error TS6133: 'posts' is declared but its value is never read.,"Unused Variable/Import","'posts' is declared but its value is never read."
"src/pages/Writer/WriterDashboard.tsx(15,17)",src/pages/Writer/WriterDashboard.tsx(15,17): error TS6133: 'setPosts' is declared but its value is never read.,"Unused Variable/Import","'setPosts' is declared but its value is never read."
"src/services/external/tiktokAPI.ts(37,11)",src/services/external/tiktokAPI.ts(37,11): error TS6133: 'height' is declared but its value is never read.,"Unused Variable/Import","'height' is declared but its value is never read."
